JobNumber,Period,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12
4037,0,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000,-3076.0000
4037,12,188.0000,188.0000,188.0000,188.0000,188.0000,188.0000,188.0000,188.0000,188.0000,188.0000,188.0000,188.0000
4040,0,-6348.0000,-6348.0000,-6348.0000,-6348.0000,-6348.0000,-6348.0000,-6348.0000,-6348.0000,-6348.0000,-6348.0000,-6348.0000,-6348.0000
4040,12,205.0000,205.0000,205.0000,205.0000,205.0000,205.0000,205.0000,205.0000,205.0000,205.0000,205.0000,205.0000
4044,0,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000,-459.0000
4044,12,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000,30.0000
4500,0,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000
4501,0,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000,5000.0000
5000,0,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000,-4797.0000
5009,0,,,,,,,,,,,,
5009,12,,,,,,,,,,,,
5010,0,,,,,,,,,,,,
5010,12,,,,,,,,,,,,
5011,0,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000,-25449.0000
5011,12,1119.0000,1119.0000,1119.0000,1119.0000,1119.0000,1119.0000,1119.0000,1119.0000,1119.0000,1119.0000,1119.0000,1119.0000
6008,0,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000,-4066.0000
6008,12,309.0000,309.0000,309.0000,309.0000,309.0000,309.0000,309.0000,309.0000,309.0000,309.0000,309.0000,309.0000
6009,0,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000
6009,12,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000,151.0000
6025,0,,,,,,,,,,,,
6025,12,,,,,,,,,,,,
6026,0,,,,,,,,,,,,
6026,12,,,,,,,,,,,,
7001,0,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000,50.0000
7005,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21760.0000
7005,12,9000.0000,9000.0000,9000.0000,9000.0000,9000.0000,9000.0000,9000.0000,9000.0000,9000.0000,9000.0000,9000.0000,9000.0000
7006,0,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000
7006,12,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000,41.0000
7007,0,,,,,,,,,,,,
7007,12,,,,,,,,,,,,
7008,0,,,,,,,,,,,,
7008,12,,,,,,,,,,,,
7009,0,,,,,,,,,,,,
7009,12,,,,,,,,,,,,
