JobNumber,Period,actual_total
3020,2,135.8300
3020,3,158.6100
3020,4,163.4200
3020,5,176.2000
3020,6,630.0000
3020,7,162.9400
3020,8,119.7800
3020,9,176.2800
3020,10,136.0700
3020,11,78.9800
3021,2,1011.6000
3021,4,20.5600
3022,1,113.7700
3022,2,70.2500
3022,3,363.3300
3022,4,-115.5800
3022,5,-643.6600
3022,6,-109.6000
3022,7,-374.9100
3022,8,-756.3200
3022,9,-534.1200
3022,10,-55.3200
3022,11,-939.0500
3024,1,5269.2600
3024,2,-10698.8500
3024,3,11970.1700
3024,4,25829.0200
3024,5,10829.8800
3024,6,8573.3600
3024,7,7134.2200
3024,8,13413.5900
3024,9,9346.2200
3024,10,10455.0000
3024,11,2984.1900
3025,1,-47452.2400
3025,2,-42568.8600
3025,3,-43316.8600
3025,4,-37757.7900
3025,5,-39345.3000
3025,6,-44716.3800
3025,7,-47861.5600
3025,8,-47776.1200
3025,9,-44341.0400
3025,10,-47814.2300
3025,11,-56198.7000
3027,1,-8022.4800
3027,2,-6876.7100
3027,3,-4853.8800
3027,4,1853.6700
3027,5,-5467.9000
3027,6,1997.7500
3027,7,3385.6200
3027,8,-1307.5600
3027,9,-32625.7700
3027,10,-60.7600
3027,11,-14881.4100
3028,2,15635.1900
3028,3,-1506.3100
3028,4,-24926.5100
3028,5,832.0600
3028,6,-2347.4000
3028,8,-2740.0900
3028,9,9699.3600
3028,10,-1342.8700
3028,11,-8233.3000
3029,1,15095.8900
3029,2,-695.0900
3029,3,-3091.7700
3029,4,-2576.9700
3029,5,-2832.0300
3029,6,-1905.6500
3029,7,-1422.5800
3029,8,-2790.1000
3029,9,-2405.7900
3029,10,-318.2700
3029,11,-1084.8700
3030,1,-5616.1300
3030,2,-4135.9600
3030,3,251.1200
3030,4,0.0000
3030,6,50.0700
3031,1,-779.9000
3031,2,-1027.7600
3031,3,-374.2300
3031,4,-1073.2900
3031,5,-618.1000
3031,6,-1157.4800
3031,7,-705.5400
3031,8,-1814.8800
3031,9,-995.3500
3031,10,-1588.2800
3031,11,-3332.4200
3032,4,20.5600
3032,7,705.9400
3033,1,-13640.2700
3033,2,-12061.9500
3033,3,905.5200
3033,4,-10135.9000
3033,5,-5223.4500
3033,6,-9971.8300
3033,7,-11797.5300
3033,8,-20203.8300
3033,9,-14396.4500
3033,10,-8978.9800
3033,11,-19873.8800
3034,1,-812.0200
3034,2,-815.3100
3034,3,-770.1500
3034,4,-597.1600
3034,5,-733.9600
3034,6,-724.5400
3034,7,-816.0700
3034,8,-746.2900
3034,9,-741.5600
3034,10,-843.5300
3034,11,-479.4300
3035,1,224.0000
3035,2,54.8100
3036,1,-914.1200
3036,2,-823.5300
