JobNumber,Period,Hours,Lunch,Total
3025,1,1439.9100,102.0000,12377.0840000
3025,2,1564.5700,116.0000,13418.9520000
3025,3,1649.6800,116.0000,14198.4575000
3025,4,1684.9700,122.5000,14578.9680000
3025,5,1303.7100,60.5000,11291.3560000
3025,6,1162.3100,42.5000,10034.6455000
3025,7,1031.0500,34.0000,9128.0165000
3025,8,1449.1800,107.0000,12392.5075000
3025,9,1499.0200,109.5000,12759.4405000
3025,10,1402.5800,101.5000,5199.2565000
3025,11,15.7900,1.0000,
3027,1,2095.1600,126.0000,18874.4325000
3027,2,2038.9700,118.5000,18304.5450000
3027,3,2324.7700,133.5000,21563.1950000
3027,4,2136.7400,129.5000,19357.1175000
3027,5,2192.3500,132.0000,20086.2425000
3027,6,2128.3300,122.0000,19491.1525000
3027,7,2116.2500,114.0000,19431.6800000
3027,8,2229.7500,127.5000,20435.1925000
3027,9,2225.6600,123.0000,20414.3950000
3027,10,1928.3600,114.0000,7605.0750000
3027,11,64.2500,3.5000,
3028,2,7.8800,0.0000,66.9800000
3029,1,2334.8400,158.0000,21172.2960000
3029,2,895.2300,63.5000,7719.6200000
3029,3,633.3500,47.0000,5582.3930000
3029,4,725.1400,56.0000,6262.6530000
3029,5,646.0900,53.0000,5630.8310000
3029,6,767.8100,56.0000,6750.3695000
3029,7,699.3100,52.5000,6071.5735000
3029,8,801.2800,58.0000,7000.5965000
3029,9,667.3100,46.0000,5736.8555000
3029,10,194.9300,14.5000,1220.0990000
3030,1,441.5300,37.0000,3779.7150000
3030,2,511.5200,35.0000,4407.7500000
3030,3,1.6700,0.0000,23.3800000
3030,6,5.0000,0.0000,42.5000000
3031,1,351.4600,31.9400,3514.6000000
3031,2,326.7400,27.2000,3218.8960000
3031,3,387.9500,36.5000,3864.6000000
3031,4,333.6400,25.0000,3271.6175000
3031,5,363.4000,25.5000,3606.2000000
3031,6,338.2600,24.0000,3372.6000000
3031,7,313.8800,23.0000,3138.8000000
3031,8,333.0400,24.0000,3320.6500000
3031,9,333.1700,23.5000,3292.8950000
3031,10,299.9900,21.5000,1466.9000000
3031,11,14.1300,1.0000,
3033,1,760.6100,29.5000,8132.1000000
3033,2,822.7800,23.0000,9064.2800000
3033,3,896.5000,32.0000,9857.6600000
3033,4,802.9300,23.5000,8687.4700000
3033,5,733.0300,23.5000,8140.8000000
3033,6,933.7000,22.5000,10357.5500000
3033,7,1099.7700,52.0000,12193.8500000
3033,8,833.5600,36.5000,9293.2700000
3033,9,695.1100,19.0000,7845.2900000
3033,10,784.8500,1.5000,4214.3000000
3034,1,113.9900,0.0000,1025.9100000
3034,2,111.9600,0.0000,1007.6400000
3034,3,117.6100,0.0000,1058.4900000
3034,4,108.0000,,972.0000000
3034,5,120.5000,,1084.5000000
3034,6,113.5000,,1021.5000000
3034,7,116.0000,,1044.0000000
3034,8,116.5000,,1048.5000000
3034,9,85.0000,,789.7500000
3034,10,103.5000,,470.2500000
3036,1,64.6400,2.0000,540.2185000
3036,2,68.2800,2.0000,558.2515000
3036,3,63.9200,1.5000,523.3310000
3036,4,74.2000,2.0000,597.3100000
3036,5,68.4900,0.0000,551.3445000
3036,6,79.4600,0.0000,639.6530000
3036,7,59.7000,0.5000,480.5850000
3036,8,73.8000,1.0000,594.0900000
3036,9,70.0600,0.0000,563.9830000
3036,10,61.3500,1.5000,234.3355000
3037,1,1128.2900,71.5000,10221.8225000
3037,2,1233.1600,83.0000,11161.6700000
3037,3,1394.7200,91.5000,12619.9775000
3037,4,1283.2200,82.0000,11626.3265000
3037,5,1230.0900,81.0000,11185.0050000
3037,6,1424.5700,92.0000,13012.0750000
3037,7,1241.3600,80.5000,11468.5150000
3037,8,1395.4300,86.0000,12652.3100000
3037,9,1500.6100,96.0000,13638.4200000
3037,10,1389.2000,92.0000,5231.7250000
3037,11,31.6100,2.0000,
3038,1,988.1200,69.0000,9217.0550000
3038,2,1045.1500,75.0000,9924.5450000
3038,3,1054.1500,74.5000,10201.9550000
3038,4,1128.5700,76.0000,10685.8500000
3038,5,1095.7300,72.5000,10444.1600000
3038,6,664.3700,37.0000,7050.2200000
3038,7,354.7600,19.5000,3765.0700000
3038,8,946.0500,46.5000,9732.3300000
3038,9,1125.2100,70.5000,10818.9900000
3038,10,825.4700,53.5000,2711.3000000
3038,11,13.1300,1.0000,
3039,1,76.0100,6.0000,684.0900000
3039,2,67.5500,5.5000,607.9500000
3039,3,77.3200,5.0000,695.8800000
3039,4,69.0900,5.0000,621.8100000
3039,5,74.5200,5.0000,670.6800000
3039,6,67.2900,5.5000,609.0900000
3039,7,70.1900,3.0000,631.7100000
3039,8,67.2500,3.0000,605.2500000
3039,9,73.3700,0.0000,690.6700000
3039,10,74.0000,0.0000,325.0000000
3040,1,907.0400,70.5000,7905.4250000
3040,2,940.8900,70.0000,8492.9500000
3040,3,1063.6900,81.0000,10509.1850000
3040,4,970.2700,75.5000,9420.5050000
3040,5,837.5000,61.5000,7519.2100000
3040,6,919.2900,60.5000,8164.5700000
3040,7,1009.5400,67.0000,8951.7850000
3040,8,988.9900,66.5000,8718.7950000
3040,9,1035.3900,67.5000,9134.5500000
3040,10,957.2600,65.0000,3922.5150000
3040,11,24.1800,1.5000,
3042,1,186.2600,0.0000,1783.6000000
3042,2,262.8600,0.5000,2449.8300000
3042,3,287.0500,0.5000,2696.0625000
3042,4,253.5700,0.0000,2284.1675000
3042,5,295.0900,1.5000,2779.7000000
3042,6,277.1300,0.5000,2593.7400000
3042,7,256.7900,6.5000,2877.0975000
3042,8,260.4800,1.0000,2539.0225000
3042,9,242.5200,0.0000,2279.2450000
3042,10,257.9300,1.0000,1045.9100000
3043,1,196.0300,0.0000,1779.2700000
3043,2,151.2000,0.0000,1364.2800000
3043,3,167.4600,0.5000,1530.0400000
3043,4,159.7200,0.0000,1507.3400000
3043,5,171.7000,0.0000,1539.0925000
3043,6,161.2700,0.0000,1433.2575000
3043,7,137.4500,0.0000,1234.0375000
3043,8,177.5800,0.0000,1598.2200000
3043,9,169.3000,0.0000,1523.7000000
3043,10,157.9100,0.0000,726.5300000
3044,4,9.0000,0.0000,79.8750000
3044,5,16.0000,0.0000,150.5000000
3044,10,8.0000,0.0000,76.0000000
3045,2,154.1300,0.5000,1396.5600000
3045,3,4386.0400,148.0000,40608.4350000
3045,4,4592.0800,220.5000,43017.8250000
3045,5,4074.4700,229.5000,38124.1250000
3045,6,4383.0500,240.0000,40032.6650000
3045,7,4173.7200,245.5000,38177.5000000
3045,8,4237.0600,250.5000,39109.7050000
3045,9,4418.0200,288.0000,40855.4850000
3045,10,4173.4900,226.5000,16922.6400000
3045,11,63.6400,4.0000,
3046,2,38.3500,0.0000,354.1500000
3046,3,316.8400,9.0000,2842.4850000
3046,4,347.9200,21.5000,3089.5700000
3046,5,341.8400,12.5000,3063.6225000
3046,6,381.2700,11.0000,3405.5500000
3046,7,352.0400,10.0000,3128.1300000
3046,8,465.8800,17.5000,4804.3000000
