MonthlyBudget,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12,GLAccountNumber,FiscalYear,BudgetType,JobNumber
7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,4060,2016,Other,1041
20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,20.0000,4022,2016,Other,1041
154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,4090,2017,Supplies,1041
10.0000,10.0000,12.0000,14.0000,16.0000,18.0000,21.0000,23.0000,26.0000,29.0000,32.0000,35.0000,39.0000,4022,2017,Other,1041
154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,154.0000,4090,2016,Supplies,1041
650.0000,650.0000,647.0000,645.0000,642.0000,639.0000,637.0000,634.0000,631.0000,628.0000,626.0000,623.0000,620.0000,4000,2017,Other,1041
29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,29.0000,4090,2016,Supplies,1045
139.0000,139.0000,155.0000,170.0000,186.0000,201.0000,217.0000,232.0000,248.0000,263.0000,279.0000,294.0000,310.0000,4022,2017,Other,1051
586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,4090,2017,Supplies,1051
73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,4022,2016,Other,1051
24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,24.0000,4060,2016,Other,1051
586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,586.0000,4090,2016,Supplies,1051
39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,39.0000,4001,2016,Other,1051
115.0000,115.0000,114.0000,114.0000,113.0000,113.0000,113.0000,112.0000,112.0000,111.0000,111.0000,110.0000,110.0000,4070,2017,Other,1051
73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,73.0000,4021,2016,Other,1051
34.0000,34.0000,34.0000,34.0000,34.0000,34.0000,34.0000,34.0000,34.0000,34.0000,34.0000,34.0000,34.0000,4003,2016,Other,1051
8.0000,8.0000,8.0000,8.0000,8.0000,8.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,7.0000,4003,2017,Other,1051
162.0000,162.0000,157.0000,152.0000,147.0000,142.0000,137.0000,132.0000,127.0000,122.0000,117.0000,112.0000,107.0000,4020,2017,Sub-contracted Labor,1051
593.0000,593.0000,567.0000,542.0000,514.0000,490.0000,464.0000,438.0000,413.0000,387.0000,361.0000,335.0000,310.0000,4021,2017,Other,1051
211.0000,211.0000,211.0000,211.0000,211.0000,211.0000,211.0000,211.0000,211.0000,211.0000,211.0000,211.0000,211.0000,4020,2016,Sub-contracted Labor,1051
3056.0000,3056.0000,3043.0000,3031.0000,3018.0000,3005.0000,2992.0000,2979.0000,2967.0000,2954.0000,2941.0000,2928.0000,2916.0000,4000,2017,Other,1051
31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,31.0000,4003,2016,Other,1053
121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,4021,2016,Other,1053
36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,36.0000,4001,2016,Other,1053
33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,4090,2016,Supplies,1053
40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,40.0000,4060,2016,Other,1053
121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,121.0000,4022,2016,Other,1053
33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,33.0000,4090,2017,Supplies,1053
