ID,JobNumber,EmployeeNumber,WorkDate,CategoriesDetailID,RecordTypeID,SequenceNumber,Hours,InTime,OutTime,Lunch,ForceOTToThisJob,PayRate,SpecialPayRate,PaidByCheckID,OvertimeHours,DoubletimeHours,WorkTicketNumber
122054,1060,3316,1/13/2017,1,5,1,6.3,12/30/1899 4:31:00 PM,12/30/1899 11:19:00 PM,0.5,0,,0,,0,0,
122055,5014,9000,1/13/2017,38,8,1,5.45,12/30/1899 4:23:00 PM,12/30/1899 9:50:00 PM,0,0,,0,,0,0,
122056,5014,9006,1/13/2017,38,8,1,7.3,12/30/1899 3:58:00 PM,12/30/1899 11:16:00 PM,0,0,,0,,0,0,
122057,5014,9007,1/13/2017,38,8,1,6.88,12/30/1899 4:40:00 PM,12/30/1899 11:33:00 PM,0,0,,0,,0,0,
122058,5014,9013,1/13/2017,38,8,1,9.92,12/30/1899 1:54:00 PM,12/30/1899 11:49:00 PM,0,0,,0,,0,0,
122059,5014,9017,1/13/2017,38,8,1,5.8,12/30/1899 2:45:00 PM,12/30/1899 8:33:00 PM,0,0,,0,,0,0,
122060,5014,9026,1/13/2017,38,8,1,6.52,12/30/1899 4:39:00 PM,12/30/1899 11:10:00 PM,0,0,,0,,0,0,
122061,5014,9056,1/13/2017,38,8,1,6.97,12/30/1899 4:18:00 PM,12/30/1899 11:16:00 PM,0,0,,0,,0,0,
122062,5014,9060,1/13/2017,38,8,1,8.88,12/30/1899 2:23:00 PM,12/30/1899 11:16:00 PM,0,0,,0,,0,0,
122063,5014,9071,1/13/2017,38,8,1,8.72,12/30/1899 2:34:00 PM,12/30/1899 11:17:00 PM,0,0,,0,,0,0,
122064,5014,9083,1/13/2017,38,8,1,8.7,12/30/1899 2:35:00 PM,12/30/1899 11:17:00 PM,0,0,,0,,0,0,
122065,5014,9096,1/13/2017,38,8,1,7.15,12/30/1899 4:18:00 PM,12/30/1899 11:27:00 PM,0,0,,0,,0,0,
122066,5014,9097,1/13/2017,38,8,1,6.58,12/30/1899 4:41:00 PM,12/30/1899 11:16:00 PM,0,0,,0,,0,0,
122067,3008,907,1/14/2017,1,5,1,5.07,12/30/1899 7:49:00 AM,12/30/1899 12:53:00 PM,0,0,,0,,0,0,
122068,3046,2770,1/14/2017,1,5,1,3.03,12/30/1899 9:12:00 AM,12/30/1899 12:14:00 PM,0,0,,0,,0,0,
122069,1065,2858,1/13/2017,1,5,1,0,12/30/1899 6:10:00 PM,,0,0,,0,,0,0,
122070,1033,3245,1/13/2017,1,5,2,0,12/30/1899 10:00:00 PM,,0,0,,0,,0,0,
122071,3037,1295,1/14/2017,1,5,1,5.35,12/30/1899 10:50:00 AM,12/30/1899 4:41:00 PM,0.5,0,,0,,0,0,
122072,3008,1788,1/14/2017,1,5,1,4.62,12/30/1899 12:51:00 PM,12/30/1899 5:58:00 PM,0.5,0,,0,,0,0,356
122073,5011,2066,1/14/2017,1,5,1,7.98,12/30/1899 6:30:00 AM,12/30/1899 2:59:00 PM,0.5,0,,0,,0,0,
122074,5011,2408,1/14/2017,1,5,1,7.98,12/30/1899 6:30:00 AM,12/30/1899 2:59:00 PM,0.5,0,,0,,0,0,
122075,5011,2510,1/14/2017,1,5,1,8.02,12/30/1899 6:30:00 AM,12/30/1899 3:01:00 PM,0.5,0,,0,,0,0,
