ID,JobNumber,EmployeeNumber,WorkDate,CategoriesDetailID,RecordTypeID,SequenceNumber,Hours,InTime,OutTime,Lunch,ForceOTToThisJob,PayRate,SpecialPayRate,PaidByCheckID,OvertimeHours,DoubletimeHours,WorkTicketNumber
95579,3000,1092,10/01/2016,1,5,1,5.13,12/30/1899 7:52:00 AM,12/30/1899 1:30:00 PM,0.5,0,8.05,0,11328,0,0,
95580,3000,1119,10/01/2016,1,8,1,7,12/30/1899 7:30:00 AM,12/30/1899 3:00:00 PM,0.5,0,8.05,0,11330,0,0,
95581,3000,1957,10/01/2016,1,5,1,5.08,12/30/1899 7:55:00 AM,12/30/1899 1:30:00 PM,0.5,0,8.05,0,11366,0,0,
95582,3012,1986,10/01/2016,1,5,1,8.02,12/30/1899 8:00:00 AM,12/30/1899 4:31:00 PM,0.5,0,8.05,0,11370,0,0,
95583,5011,2066,10/01/2016,1,5,1,8,12/30/1899 6:30:00 AM,12/30/1899 3:00:00 PM,0.5,0,8.75,0,11376,0,0,
95584,3029,2367,10/01/2016,1,5,1,6.57,12/30/1899 10:00:00 AM,12/30/1899 5:04:00 PM,0.5,0,8.5,0,11411,0,0,
95585,3016,2374,10/01/2016,1,5,1,6.48,12/30/1899 10:07:00 AM,12/30/1899 5:06:00 PM,0.5,0,8.05,0,11413,0,0,
95586,5011,2408,10/01/2016,1,5,1,7.5,12/30/1899 7:00:00 AM,12/30/1899 3:00:00 PM,0.5,0,8.75,0,11422,0,0,
95587,1055,2950,10/01/2016,1,5,1,3,12/30/1899 1:00:00 PM,12/30/1899 4:00:00 PM,0,0,9,0,11507,0.39,0,
95588,3012,2951,10/01/2016,1,8,1,6,12/30/1899 10:00:00 AM,12/30/1899 4:30:00 PM,0.5,0,8.05,0,11508,0,0,
95589,3000,3079,10/01/2016,1,8,1,6.9,12/30/1899 8:06:00 AM,12/30/1899 4:00:00 PM,1,0,9,0,11554,1.09,0,
95590,1055,3173,10/01/2016,1,5,1,2.53,12/30/1899 3:28:00 PM,12/30/1899 6:00:00 PM,0,0,15,0,11594,0,0,
95591,3001,607,10/01/2016,1,5,1,5.23,12/30/1899 7:49:00 PM,12/30/1899 1:33:00 AM,0.5,0,10,0,11294,1.8,0,
95592,3000,657,10/01/2016,1,8,1,7,12/30/1899 7:30:00 AM,12/30/1899 3:00:00 PM,0.5,0,11.5,0,11301,0.01,0,
95593,3001,782,10/01/2016,1,5,1,5.1,12/30/1899 8:00:00 PM,12/30/1899 1:36:00 AM,0.5,0,8.05,0,11305,0.48,0,
95594,3003,831,10/01/2016,1,8,1,5.1,12/30/1899 8:00:00 PM,12/30/1899 1:36:00 AM,0.5,0,8.05,0,11311,0.27,0,
